Vehicle;Service;Distance;Time
0;4;627,925894642352;124,896866825247
0;5;1095,33893126991;144,255542435701
0;6;256,940132257748;48,8820287367602
0;7;390,897478322134;72,8308208501911
0;8;390,897478322134;72,8308208501911
0;9;2537,63972922215;329,755881818953
0;10;319,037879432953;57,0756271629136
0;11;2612,33786505654;350,134147599029
0;12;211,549228954781;57,7285712466315
0;13;530,08714160743;97,8524766067324
0;14;2351,71633972658;306,369397775272
0;15;2232,27397806311;282,769547735502
0;16;600,113213650645;112,894353793844
0;17;2310,91482339303;303,431688599256
0;18;2551,11494154448;345,042034308031
0;19;2540,12720879296;344,934980348051
------------------------------------------------------
Vehicle;Service;Distance;Time
1;4;2625,65015042305;336,595160089348
1;5;1545,96047753767;229,70545793447
1;6;2300,18892598267;295,315921786058
1;7;2454,33463218299;294,260442776063
1;8;2454,33463218299;294,260442776063
1;9;9,12684094184217;0,657132547812636
1;10;2528,02024973174;307,514833071939
1;11;196,720627426113;44,1638851746801
1;12;2736,61244083998;339,584444999366
1;13;2527,81139738813;289,550769870833
1;14;348,639960724323;55,1020771721513
1;15;468,08230481448;78,7019259466425
1;16;2597,83746943135;324,592647057945
1;17;482,438588847731;69,7355783970366
1;18;766,257232704299;155,614944945833
1;19;268,931284668272;49,3630524961156
------------------------------------------------------
Vehicle;Service;Distance;Time
2;4;186,32130349217;43,4151338514362
2;5;1194,50515278095;173,898483622609
2;6;356,106353768793;78,5249699236682
2;7;490,063699833179;102,473762037099
2;8;490,063699833179;102,473762037099
2;9;2636,80595073319;359,398823005861
2;10;418,204100943998;86,7185683498216
2;11;2711,50408754616;379,777088856395
2;12;310,715450465826;67,3715124335395
2;13;172,669717836822;67,4322196842512
2;14;2450,88256123763;336,01233896218
2;15;2331,44019957416;312,41248892241
2;16;678,208042128497;118,830979033252
2;17;2410,08104490408;333,074629786164
2;18;2650,28116305553;374,684975494939
2;19;2639,293430304;374,577921534959
------------------------------------------------------
Vehicle;Service;Distance;Time
3;4;1411,66135023897;224,367640211612
3;5;1977,58205005434;232,149046744148
3;6;1208,77359454608;172,41403802152
3;7;1342,73094061046;196,362830134951
3;8;1342,73094061046;196,362830134951
3;9;2025,66628273166;274,178060291837
3;10;1270,87134172128;180,607636447673
3;11;2040,19181888289;281,893810959568
3;12;1163,38269124311;181,260580531391
3;13;1347,49894466374;254,747947010195
3;14;2181,29598463246;325,02448743252
3;15;2300,73832872262;348,624336207011
3;16;1551,94667593897;236,426363078604
3;17;2315,09461275587;339,657988657406
3;18;2598,91325661244;405,537355206202
3;19;2382,78178000962;344,648744986194
------------------------------------------------------
Service;Service;Distance;Time
4;5;1234,88574613328;201,805886343977
4;6;396,486947121124;106,432372645036
4;7;530,44429318551;130,381164758467
4;8;530,44429318551;130,381164758467
4;9;2677,18654408552;387,306225727229
4;10;458,584694296329;114,625971071189
4;11;2751,88468089849;407,684491577763
4;12;351,096043818157;95,2789151549073
